,level_0,index,PSCID,Protein Name,Free form,Bound form,Ligands,Classification(?),motion_type,Free PDB,Free Chains,Bound PDB,Bound Chains
167,170,41,CL.42,RIBONUCLEOTIDE REDUCTASE PROTEIN R1,1rlr_A,2r1r_C,"PEPT(SEVDTDDLSNFQL),TTP",1100,coupled_local_motion,1rlr,A,2r1r,C
168,171,42,CL.43,IRON(III) DICITRATE TRANSPORT PROTEIN FECA,1pnz_A,1kmp_A,"FDC,16xLDA",1100,coupled_local_motion,1pnz,A,1kmp,A
169,172,43,CL.44,8-AMINO-7-OXONONANOATE SYNTHASE,1bs0_AA,1dj9_AA,"2xKAM,2xMG",1100,coupled_local_motion,1bs0,AA,1dj9,AA
170,173,44,CL.45,INOSITOL MONOPHOSPHATASE,1imf_AA,1ime_AB,2xCA,1100,coupled_local_motion,1imf,AA,1ime,AB
171,174,45,CL.46,BETA-SECRETASE 1,1sgz_B,2f3e_C,AXQ,1100,coupled_local_motion,1sgz,B,2f3e,C
172,175,46,CL.47,TRIOSEPHOSPHATE ISOMERASE,1mss_B,1ttj_A,PGH,1100,coupled_local_motion,1mss,B,1ttj,A
173,176,47,CL.48,PANTOTHENATE SYNTHETASE,1n2o_AB,2a86_AB,2xAMP,1100,coupled_local_motion,1n2o,AB,2a86,AB
174,177,48,CL.49,PMS1 PROTEIN HOMOLOG 2,1h7s_A,1ea6_B,ADP,1100,coupled_local_motion,1h7s,A,1ea6,B
175,178,49,CL.50,PROTEIN BUG27,2qpq_B,2qpq_A,CIT,1100,coupled_local_motion,2qpq,B,2qpq,A
176,179,50,CL.51,ALKALINE PHOSPHATASE,1aja_AB,1elz_AB,"2xMG,4xZN",1100,coupled_local_motion,1aja,AB,1elz,AB
177,180,51,CL.52,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,1zvw_B,1zvw_A,"BAM,2xMG,PRP",1100,coupled_local_motion,1zvw,B,1zvw,A
178,181,52,CL.53,GTP-BINDING PROTEIN LEPA,2ywe_A,2ywf_A,GNP,1100,coupled_local_motion,2ywe,A,2ywf,A
179,182,53,CL.54,ASPARTATE BETA-SEMIALDEHYDE DEHYDROGENASE,2gyy_AB,2gz1_AB,2xNAP,1002,coupled_local_motion,2gyy,AB,2gz1,AB
180,183,54,CL.55,PANTOTHENATE KINASE,2f9t_AB,2f9w_AB,2xPAU,1001,coupled_local_motion,2f9t,AB,2f9w,AB
181,184,55,CL.56,1-DEOXY-D-XYLULOSE-5-PHOSPHATE REDUCTOISOMERASE,1k5h_AA,1q0q_AB,"2xDXP,2xNDP",1000,coupled_local_motion,1k5h,AA,1q0q,AB
182,185,56,CL.57,SHIKIMATE KINASE,2iyt_A,2iyx_A,"MG,SKM",1000,coupled_local_motion,2iyt,A,2iyx,A
183,186,57,CL.58,D-ALANINE:D-ALANINE LIGASE,2fb9_AA,2zdq_AB,2xATP,1000,coupled_local_motion,2fb9,AA,2zdq,AB
184,187,58,CL.59,ARABINOSE OPERON REGULATORY PROTEIN,1xja_EE,2aac_AB,2xFCB,1000,coupled_local_motion,1xja,EE,2aac,AB
185,188,59,CL.60,"BETA-1,4-GALACTOSYLTRANSFERASE 1",1pzt_A,1o0r_A,"GDU,MN",1000,coupled_local_motion,1pzt,A,1o0r,A
186,189,60,CL.61,ARYLALKYLAMINE N-ACETYLTRANSFERASE,1b6b_A,1cjw_A,COT,1000,coupled_local_motion,1b6b,A,1cjw,A
187,190,61,CL.62,ANTIGEN 85-C,1dqz_B,1dqy_A,DEP,1000,coupled_local_motion,1dqz,B,1dqy,A
188,191,62,CL.63,CHEMOSENSORY PROTEIN A6,1kx9_A,1n8v_B,3xBDD,1000,coupled_local_motion,1kx9,A,1n8v,B
189,192,63,CL.64,HYDROGENASE EXPRESSION/FORMATION PROTEIN HYPC,2z1c_A,2z1c_B,PG4,1000,coupled_local_motion,2z1c,A,2z1c,B
191,194,65,CL.66,SHIKIMATE KINASE,1zuh_A,1zui_A,SKM,1000,coupled_local_motion,1zuh,A,1zui,A
192,195,66,CL.67,STAPHYLOCOCCAL ENTEROTOXIN B,3seb_A,1se3_A,SIA,1000,coupled_local_motion,3seb,A,1se3,A
193,196,67,CL.68,CATECHOL O-METHYLTRANSFERASE,2zlb_A,2cl5_B,"2xBIE,MG,SAM",1000,coupled_local_motion,2zlb,A,2cl5,B
194,197,68,CL.69,PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRA/MSRB,3bqh_A,3bqf_A,SSM,1000,coupled_local_motion,3bqh,A,3bqf,A
195,198,69,CL.70,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,2f4b_B,2om9_A,3xAJA,1000,coupled_local_motion,2f4b,B,2om9,A
196,199,70,CL.71,ARSENATE REDUCTASE,1jfv_A,1rxe_A,MNB,1000,coupled_local_motion,1jfv,A,1rxe,A
197,200,71,CL.72,PENICILLIN-BINDING PROTEIN 5,1nzu_A,3bec_A,HJ2,1000,coupled_local_motion,1nzu,A,3bec,A
198,201,72,CL.73,GALECTIN,1ww7_BC,1ww4_AD,"2xGAL,2xGLC,2xSIA",1000,coupled_local_motion,1ww7,BC,1ww4,AD
199,202,73,CL.74,DIADENOSINE TETRAPHOSPHATE HYDROLASE,1kt9_A,1ktg_A,"AMP,2xMG",1000,coupled_local_motion,1kt9,A,1ktg,A
200,203,74,CL.75,"DTDP-6-DEOXY-D-XYLO-4-HEXULOSE 3,5-EPIMERASE",1nxm_AB,2ixl_AB,2xTRH,1000,coupled_local_motion,1nxm,AB,2ixl,AB
201,204,75,CL.76,"PROTEIN PHOSPHATASE 2A, REGULATORY SUBUNIT B",2hv6_B,2hv7_E,ADP,1000,coupled_local_motion,2hv6,B,2hv7,E
202,205,76,CL.77,DNA PACKAGING PROTEIN GP17,2o0k_A,2o0j_A,ADP,1000,coupled_local_motion,2o0k,A,2o0j,A
203,206,77,CL.78,17BETA-HYDROXYSTEROID DEHYDROGENASE,1bhs_AA,1i5r_AA,2xHYC,1000,coupled_local_motion,1bhs,AA,1i5r,AA
204,207,78,CL.79,LIPASE,1tib_A,1ein_B,PLC,1000,coupled_local_motion,1tib,A,1ein,B
205,208,79,CL.80,3-DEHYDROQUINATE DEHYDRATASE,1gqn_AA,1l9w_CD,2xDHS,1000,coupled_local_motion,1gqn,AA,1l9w,CD
206,209,80,CL.81,ALPHA-AMYLASE,1vjs_A,1bli_A,3xCA,1000,coupled_local_motion,1vjs,A,1bli,A
207,210,81,CL.82,PROTEIN L,1hz6_A,1k52_B,2xZN,1000,coupled_local_motion,1hz6,A,1k52,B
208,211,82,CL.83,GDP-MANNOSE MANNOSYL HYDROLASE,2gt2_CD,1rya_AB,"2xGDP,2xMG",1000,coupled_local_motion,2gt2,CD,1rya,AB
209,212,83,CL.84,PROLINE-TRNA LIGASE,2i4l_CC,2i4n_AB,2x5CA,1000,coupled_local_motion,2i4l,CC,2i4n,AB
210,213,84,CL.85,ASPARAGINE OXYGENASE,2og6_A,2og7_A,"AHB,SIN",1000,coupled_local_motion,2og6,A,2og7,A
211,214,85,CL.86,CELLULAR TUMOR ANTIGEN P53,2p52_A,2iom_A,ZN,1000,coupled_local_motion,2p52,A,2iom,A
212,215,86,CL.87,PHOSPHOSERINE PHOSPHATASE,1l7o_B,1l7p_B,SEP,1000,coupled_local_motion,1l7o,B,1l7p,B
213,216,87,CL.88,STAPHYLOCOCCAL NUCLEASE,1ey0_A,1stb_A,"CA,THP",1000,coupled_local_motion,1ey0,A,1stb,A
214,217,88,CL.89,ANNEXIN GH1,1n00_A,3brx_A,3xCA,1000,coupled_local_motion,1n00,A,3brx,A
215,218,89,CL.90,BETA-LACTOGLOBULIN,1bsq_A,2gj5_A,2xVD3,1000,coupled_local_motion,1bsq,A,2gj5,A
216,219,90,CL.91,AZURIN,1r1c_C,1r1c_A,REP,1000,coupled_local_motion,1r1c,C,1r1c,A
217,220,91,CL.92,27.5 KDA VIRULENCE PROTEIN,2z8n_B,2z8p_A,PEPT(GEAVATY),1000,coupled_local_motion,2z8n,B,2z8p,A
218,221,92,CL.93,SORTASE,1t2w_C,1t2w_A,"GLU,PRO,THR",1000,coupled_local_motion,1t2w,C,1t2w,A
219,222,93,CL.94,ALPHA-L-ARABINOFURANOSIDASE,2vrk_A,2vrq_B,"AHR,3xXYP",1000,coupled_local_motion,2vrk,A,2vrq,B
220,223,94,CL.95,SCO1 PROTEIN,2b7k_B,2b7j_C,2xCU,1000,coupled_local_motion,2b7k,B,2b7j,C
221,224,95,CL.96,ALDEHYDE REDUCTASE II,1ujm_B,1y1p_A,"AMP,NMN",1000,coupled_local_motion,1ujm,B,1y1p,A
222,225,96,CL.97,N-ACETYL-BETA-D-GLUCOSAMINIDASE,2epl_XX,2epn_AB,2xNGT,1000,coupled_local_motion,2epl,XX,2epn,AB
223,226,97,CL.98,UNCHARACTERIZED PROTEIN,2r4i_CD,2r4i_AB,CIT,1000,coupled_local_motion,2r4i,CD,2r4i,AB
224,227,98,CL.99,"MALATE DEHYDROGENASE, GLYOXYSOMAL",1smk_AB,1smk_CD,CIT,1000,coupled_local_motion,1smk,AB,1smk,CD
225,228,99,CL.100,THYMIDYLATE SYNTHASE,2rda_EF,1juj_CD,"2xLYA,2xUMP",1000,coupled_local_motion,2rda,EF,1juj,CD
226,229,100,CL.101,"PHOSPHOINOSITIDE-SPECIFIC PHOSPHOLIPASE C, ISOZYME DELTA1",1qat_A,1djz_B,"2xCA,IP2",1000,coupled_local_motion,1qat,A,1djz,B
227,230,101,CL.102,BETA-AMYLASE,1wdp_A,1q6f_A,2xGLC,1000,coupled_local_motion,1wdp,A,1q6f,A
228,231,102,CL.103,TRIOSEPHOSPHATE ISOMERASE GLYCOSOMAL,2j24_AB,2j27_AB,2xPGA,1000,coupled_local_motion,2j24,AB,2j27,AB
229,232,103,CL.104,LL-DIAMINOPIMELATE AMINOTRANSFERASE,3ei7_AB,2z1z_AB,"MLT,2xPLP",1000,coupled_local_motion,3ei7,AB,2z1z,AB
230,233,104,CL.105,DEHYDROSQUALENE SYNTHASE,2zco_A,2zcq_A,"B65,2xMG",1000,coupled_local_motion,2zco,A,2zcq,A
231,234,105,CL.106,XYLOSE REDUCTASE,1jez_AB,1k8c_CD,2xNAP,1000,coupled_local_motion,1jez,AB,1k8c,CD
232,235,106,CL.107,"GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD+], CYTOPLASMIC",1x0v_AB,1wpq_AB,"2x13P,2xNAD",1000,coupled_local_motion,1x0v,AB,1wpq,AB
233,236,107,CL.108,LIPASE A,1i6w_B,1r4z_A,RIL,1000,coupled_local_motion,1i6w,B,1r4z,A
234,237,108,CL.109,PHOSPHOLIPASE D,2ze4_A,2ze9_A,PD7,1000,coupled_local_motion,2ze4,A,2ze9,A
235,238,109,CL.110,LEUCYL/PHENYLALANYL-TRNA--PROTEIN TRANSFERASE,2dps_B,2dpt_B,"PUY,TAR",1000,coupled_local_motion,2dps,B,2dpt,B
236,239,110,CL.111,RIBONUCLEASE T1,1rn4_A,2bir_A,2GP,1000,coupled_local_motion,1rn4,A,2bir,A
237,240,111,CL.112,RNA EDITING COMPLEX PROTEIN MP57,2b4v_A,2b51_A,"MN,3xUTP",1000,coupled_local_motion,2b4v,A,2b51,A
238,241,112,CL.113,ORNITHINE DECARBOXYLASE,2on3_AB,2oo0_AB,"2xN2P,2xPLP",1000,coupled_local_motion,2on3,AB,2oo0,AB
239,242,113,CL.114,ALPHA-D-GLUCURONIDASE,1mqr_AA,1mqq_AA,2xGCU,1000,coupled_local_motion,1mqr,AA,1mqq,AA
240,243,114,CL.115,LEUCINE CARBOXYL METHYLTRANSFERASE 1,1rjf_C,2ob2_B,SAH,1000,coupled_local_motion,1rjf,C,2ob2,B
241,244,115,CL.116,COPPER RESISTANCE PROTEIN C,2c9r_A,2c9p_C,2xCU,1000,coupled_local_motion,2c9r,A,2c9p,C
242,245,116,CL.117,ALDOSE REDUCTASE,2bgq_A,2vdg_A,NDP,1000,coupled_local_motion,2bgq,A,2vdg,A
243,246,117,CL.118,PEPTIDE AMIDASE,1m22_A,1m21_A,CHY,1000,coupled_local_motion,1m22,A,1m21,A
244,247,118,CL.119,GLUCOSAMINE--FRUCTOSE-6-PHOSPHATE AMINOTRANSFERASE,2vf4_X,2vf5_X,GLP,1000,coupled_local_motion,2vf4,X,2vf5,X
245,248,119,CL.120,"ALPHA-1,3-MANNOSYL-GLYCOPROTEIN BETA-1,2-N- ACETYLGLUCOSAMINYLTRANSFERASE",1fo8_A,1foa_A,UD1,1000,coupled_local_motion,1fo8,A,1foa,A
246,249,120,CL.121,2-KETO-3-DEOXY-D-ARABINONATE DEHYDRATASE,2q18_XX,2q1c_XX,"2x2KT,2xCA",1000,coupled_local_motion,2q18,XX,2q1c,XX
247,250,121,CL.122,RIO2 SERINE KINASE,1tqi_A,1zao_A,"ATP,2xMN",1000,coupled_local_motion,1tqi,A,1zao,A
248,251,122,CL.123,PHOSPHOMETHYLPYRIMIDINE KINASE,1jxh_AB,1jxi_AB,2xHMH,1000,coupled_local_motion,1jxh,AB,1jxi,AB
249,252,123,CL.124,PHOSPHORIBOSYL ANTHRANILATE ISOMERASE,1nsj_AA,1lbm_AA,2x137,1000,coupled_local_motion,1nsj,AA,1lbm,AA
250,253,124,CL.125,"IRON(III) ABC TRANSPORTER, PERIPLASMIC IRON- BINDING PROTEIN, PUTATIVE",2etv_B,2etv_A,NI,1000,coupled_local_motion,2etv,B,2etv,A
251,254,0,IL.1,CHOLESTEROL ESTERASE,2bce_A,1akn_A,NAG,401,independent_local_motion,2bce,A,1akn,A
252,255,1,IL.2,"RIBULOSE-1,5-BISPHOSPHATE CARBOXYLASE",1rba_AB,9rub_AB,"MG,2xRUB",401,independent_local_motion,1rba,AB,9rub,AB
253,256,2,IL.3,BOTULINUM NEUROTOXIN TYPE B,1s0g_A,1f31_A,"GAL,SIA,ZN",401,independent_local_motion,1s0g,A,1f31,A
255,258,4,IL.5,ARGONAUTE PROTEIN,2f8s_B,1yvu_A,CA,301,independent_local_motion,2f8s,B,1yvu,A
256,259,5,IL.6,GALACTOSE OXIDASE,1goh_A,1k3i_A,"CA,GLC",301,independent_local_motion,1goh,A,1k3i,A
257,260,6,IL.7,RNA DEPENDENT RNA POLYMERASE,1yuy_A,1yvz_A,JPC,301,independent_local_motion,1yuy,A,1yvz,A
258,261,7,IL.8,GLYOXALASE FAMILY PROTEIN,2p7l_EF,2p7p_AB,2xMN,301,independent_local_motion,2p7l,EF,2p7p,AB
259,262,8,IL.9,INTERLEUKIN-2,1m47_A,1pw6_B,FRB,301,independent_local_motion,1m47,A,1pw6,B
260,263,9,IL.10,PI-SCEI ENDONUCLEASE,1vde_B,1ef0_A,ZN,301,independent_local_motion,1vde,B,1ef0,A
261,264,10,IL.11,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 22,2qct_B,2qct_A,561,301,independent_local_motion,2qct,B,2qct,A
262,265,11,IL.12,DIPHOSPHATE--FRUCTOSE-6-PHOSPHATE 1-PHOSPHOTRANSFERASE,1kzh_AB,2f48_AB,FBP,211,independent_local_motion,1kzh,AB,2f48,AB
263,266,12,IL.13,NEUROTOXIN A,3bok_A,2ise_A,ZN,210,independent_local_motion,3bok,A,2ise,A
264,267,13,IL.14,N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE,1ymy_AB,2p50_AB,2xZN,210,independent_local_motion,1ymy,AB,2p50,AB
265,268,14,IL.15,LIPID-TRANSFER PROTEIN CERT,2e3m_A,2e3p_B,16C,210,independent_local_motion,2e3m,A,2e3p,B
266,269,15,IL.16,"DHPS, DIHYDROPTEROATE SYNTHASE",1tws_BB,1tx2_AA,2x680,210,independent_local_motion,1tws,BB,1tx2,AA
267,270,16,IL.17,LIPOXYGENASE-1,1f8n_A,2sbl_A,FE,210,independent_local_motion,1f8n,A,2sbl,A
268,271,17,IL.18,SERYL-TRNA SYNTHETASE,1sry_AB,1set_AB,2xSSA,210,independent_local_motion,1sry,AB,1set,AB
269,272,18,IL.19,YHCH PROTEIN,1jop_BC,1s4c_BC,2xCU,210,independent_local_motion,1jop,BC,1s4c,BC
270,273,19,IL.20,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE 1,1rxt_B,1rxt_C,CO,210,independent_local_motion,1rxt,B,1rxt,C
271,274,20,IL.21,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 3,1u6e_AB,2qo0_AB,2xD1T,210,independent_local_motion,1u6e,AB,2qo0,AB
272,275,21,IL.22,"ENDO-1,4-BETA-D-XYLANASE",1xyf_AB,1v6u_AB,"AHR,13xXYP,XYS",202,independent_local_motion,1xyf,AB,1v6u,AB
273,276,22,IL.23,PUTATIVE ACETYLTRANSFERASE,3c8v_AB,3c8v_CD,MG,202,independent_local_motion,3c8v,AB,3c8v,CD
274,277,23,IL.24,GTP-BINDING PROTEIN,2dwq_A,2dby_A,GDP,201,independent_local_motion,2dwq,A,2dby,A
275,278,24,IL.25,NEUROPILIN-1,2orx_A,2orz_A,PEPT(KPR),201,independent_local_motion,2orx,A,2orz,A
276,279,25,IL.26,LYSOZYME,1lyy_A,1re2_A,"GAL,2xNAG",201,independent_local_motion,1lyy,A,1re2,A
277,280,26,IL.27,PYOVERDINE BIOSYNTHESIS PROTEIN PVCA,3e59_D,3e59_B,2xPGE,201,independent_local_motion,3e59,D,3e59,B
278,281,27,IL.28,SERINE/THREONINE-PROTEIN KINASE GCN2,1zy4_AB,1zyd_AB,2xATP,201,independent_local_motion,1zy4,AB,1zyd,AB
279,282,28,IL.29,4F2 CELL-SURFACE ANTIGEN HEAVY CHAIN,2dh3_B,2dh3_A,ZN,201,independent_local_motion,2dh3,B,2dh3,A
280,283,29,IL.30,PYRUVATE PHOSPHATE DIKINASE,1jde_AA,1kc7_AA,"2xMG,2xPPR",201,independent_local_motion,1jde,AA,1kc7,AA
281,284,30,IL.31,O-SUCCINYLBENZOATE SYNTHASE,2ofj_A,1fhv_A,"MG,OSB",201,independent_local_motion,2ofj,A,1fhv,A
282,285,31,IL.32,PROGESTERONE 5-BETA-REDUCTASE,2v6f_A,2v6g_A,NAP,201,independent_local_motion,2v6f,A,2v6g,A
284,287,33,IL.34,DNA TOPOISOMERASE I,1mw9_X,1cy0_A,A3P,201,independent_local_motion,1mw9,X,1cy0,A
285,288,34,IL.35,BETA-HEXOSAMINIDASE,1tr9_A,2oxn_A,OAN,201,independent_local_motion,1tr9,A,2oxn,A
286,289,35,IL.36,ALLANTOATE AMIDOHYDROLASE,2imo_AB,1z2l_AB,"1AL,4xZN",201,independent_local_motion,2imo,AB,1z2l,AB
287,290,36,IL.37,TYROSYL-DNA PHOSPHODIESTERASE 1,1qzq_A,1rg2_B,"DNA(TA),OTS,OTR",201,independent_local_motion,1qzq,A,1rg2,B
288,291,37,IL.38,PUTATIVE MODIFICATION METHYLASE,2zig_AB,2zif_AB,2xSAM,201,independent_local_motion,2zig,AB,2zif,AB
289,292,38,IL.39,"N(2),N(2)-DIMETHYLGUANOSINE TRNA METHYLTRANSFERASE",2dul_AA,2ytz_AB,2xSAH,201,independent_local_motion,2dul,AA,2ytz,AB
290,293,39,IL.40,FIBRILLIN-1,1uzq_A,1uzj_C,2xCA,120,independent_local_motion,1uzq,A,1uzj,C
291,294,40,IL.41,PHEROMONE-BINDING PROTEIN,2fjy_B,1dqe_A,BOM,110,independent_local_motion,2fjy,B,1dqe,A
292,295,41,IL.42,HTH-TYPE TRANSCRIPTIONAL REGULATOR BENM,2f6p_AB,2f8d_AB,3xBEZ,110,independent_local_motion,2f6p,AB,2f8d,AB
293,296,42,IL.43,FERREDOXIN-LIKE PROTEIN OF UNKNOWN FUNCTION,3bgu_BB,3bgu_AA,2xNBZ,110,independent_local_motion,3bgu,BB,3bgu,AA
294,297,43,IL.44,PHYCOCYANOBILIN:FERREDOXIN OXIDOREDUCTASE,2dke_A,2d1e_A,BLA,110,independent_local_motion,2dke,A,2d1e,A
295,298,44,IL.45,PROBABLE ATP-DEPENDENT RNA HELICASE DDX58,2qfd_C,2qfb_H,ZN,110,independent_local_motion,2qfd,C,2qfb,H
296,299,45,IL.46,"NG,NG-DIMETHYLARGININE DIMETHYLAMINOHYDROLASE 1",2ci3_A,2ci6_A,ZN,110,independent_local_motion,2ci3,A,2ci6,A
297,300,46,IL.47,L-ARGININE\:GLYCINE AMIDINOTRANSFERASE,2jdw_AA,4jdw_AA,2xARG,110,independent_local_motion,2jdw,AA,4jdw,AA
298,301,47,IL.48,THIOESTERASE I,1ivn_A,1u8u_A,OCA,110,independent_local_motion,1ivn,A,1u8u,A
299,302,48,IL.49,"3,4-DIHYDROXY-2-BUTANONE 4-PHOSPHATE SYNTHASE",1pvw_CC,1snn_AB,"2x5RP,2xZN",110,independent_local_motion,1pvw,CC,1snn,AB
300,303,49,IL.50,RIBOSOME-INACTIVATING PROTEIN 3,2pqi_C,2pqj_C,ADE,110,independent_local_motion,2pqi,C,2pqj,C
301,304,50,IL.51,HYPOTHETICAL 22.5 KDA PROTEIN IN TUB1-CPR3 INTERGENIC REGION,1xe8_CC,1xe8_AB,"ADE,CIT",110,independent_local_motion,1xe8,CC,1xe8,AB
302,305,51,IL.52,PRECORRIN-2 C20-METHYLTRANSFERASE,2e0k_AB,2e0n_AB,2xSAH,110,independent_local_motion,2e0k,AB,2e0n,AB
303,306,52,IL.53,ENDOGLUCANASE B,1a3h_A,1qhz_A,CA,110,independent_local_motion,1a3h,A,1qhz,A
304,307,53,IL.54,METALLO-BETA-LACTAMASE,2znb_B,1a8t_B,2xZN,110,independent_local_motion,2znb,B,1a8t,B
305,308,54,IL.55,UPF0341 PROTEIN YHIQ,2pgx_A,2oyr_A,SAH,110,independent_local_motion,2pgx,A,2oyr,A
306,309,55,IL.56,CLAVAMINATE SYNTHASE 1,1ds0_A,1gvg_A,"AKG,FE,PCX",110,independent_local_motion,1ds0,A,1gvg,A
308,311,57,IL.58,FORMATE DEHYDROGENASE,2fss_BC,2j6i_AD,2xPG4,102,independent_local_motion,2fss,BC,2j6i,AD
309,312,58,IL.59,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,1t2u_A,1t15_A,PEPT(STSPTFNK),102,independent_local_motion,1t2u,A,1t15,A
310,313,59,IL.60,SYS-1 PROTEIN,3c2h_B,3c2g_B,PEPT(GDEVKVFR),102,independent_local_motion,3c2h,B,3c2g,B
311,314,60,IL.61,PROBABLE GALACTOKINASE,2cz9_A,2dei_A,"GLA,MAP",102,independent_local_motion,2cz9,A,2dei,A
312,315,61,IL.62,UVRABC SYSTEM PROTEIN C,2nrt_A,2nrz_B,MN,101,independent_local_motion,2nrt,A,2nrz,B
313,316,62,IL.63,ANTITHROMBIN,1br8_L,1azx_I,"NAG,NTP",101,independent_local_motion,1br8,L,1azx,I
314,317,63,IL.64,MUTANT AL2 6E7S9G,1h8n_A,1h8s_A,AIC,101,independent_local_motion,1h8n,A,1h8s,A
315,318,64,IL.65,HISTONE H3 LYSINE 4 SPECIFIC METHYLTRANSFERASE,1h3i_A,1mt6_A,SAH,101,independent_local_motion,1h3i,A,1mt6,A
316,319,65,IL.66,"6-HYDROXYMETHYL-7,8-DIHYDROPTERIN PYROPHOSPHOKINASE",1hka_A,1rao_A,"AMP,HH2",101,independent_local_motion,1hka,A,1rao,A
317,320,66,IL.67,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 7,2f1w_A,2fop_A,PEPT(EKPSSS),101,independent_local_motion,2f1w,A,2fop,A
318,321,67,IL.68,HYDROPHOBIN-1,2fz6_C,2fz6_B,ZN,101,independent_local_motion,2fz6,C,2fz6,B
319,322,68,IL.69,NUCLEAR INCLUSION PROTEIN A,1q31_B,1lvb_A,PEPT(TENLYFQSGT),101,independent_local_motion,1q31,B,1lvb,A
320,323,69,IL.70,ASPARTYL-TRNA SYNTHETASE,1l0w_AB,1g51_AB,"2xAMO,AMP",101,independent_local_motion,1l0w,AB,1g51,AB
321,324,70,IL.71,SIALIC ACID BINDING IG-LIKE LECTIN 7,1o7v_A,2hrl_A,"GLC,NAG,SIA",101,independent_local_motion,1o7v,A,2hrl,A
322,325,71,IL.72,AGRIN,1pz9_B,1pz7_B,CA,101,independent_local_motion,1pz9,B,1pz7,B
323,326,72,IL.73,UNCHARACTERIZED PROTEIN,2pyq_C,2pyq_B,PG4,101,independent_local_motion,2pyq,C,2pyq,B
324,327,73,IL.74,NICOTINIC ACID MONONUCLEOTIDE ADENYLYLTRANSFERASE,1k4k_A,1k4m_B,"CIT,NAD",101,independent_local_motion,1k4k,A,1k4m,B
325,328,74,IL.75,PROTEIN TRAI,2q7u_B,2q7t_A,MG,101,independent_local_motion,2q7u,B,2q7t,A
326,329,75,IL.76,INTEGRASE,1vsm_AA,1vsf_AA,2xMN,101,independent_local_motion,1vsm,AA,1vsf,AA
327,330,76,IL.77,PROBABLE ATP-DEPENDENT RNA HELICASE P47,1xti_A,1xtj_A,"ADP,MG",101,independent_local_motion,1xti,A,1xtj,A
328,331,77,IL.78,MO25 PROTEIN,1upl_A,1upk_A,PEPT(DWEF),101,independent_local_motion,1upl,A,1upk,A
329,332,78,IL.79,TETANUS NEUROTOXIN,1a8d_A,1fv3_B,"GAL,NGA",101,independent_local_motion,1a8d,A,1fv3,B
330,333,79,IL.80,PEPTIDYL-GLYCINE ALPHA-AMIDATING MONOOXYGENASE,1yjl_A,1sdw_A,"2xCU,3xIYT",101,independent_local_motion,1yjl,A,1sdw,A
331,334,80,IL.81,HYPOTHETICAL PROTEIN,2it9_CD,2it9_AB,2xPGE,101,independent_local_motion,2it9,CD,2it9,AB
332,335,81,IL.82,DIPHTHERIA TOXIN REPRESSOR,1p92_AA,1g3y_AA,2xZN,101,independent_local_motion,1p92,AA,1g3y,AA
333,336,82,IL.83,CAPSID PROTEIN P24 (CA),2gol_D,2gon_D,FLC,101,independent_local_motion,2gol,D,2gon,D
334,337,83,IL.84,CELLULAR RETINOIC ACID-BINDING PROTEIN 2,3d97_B,3d97_A,B3P,101,independent_local_motion,3d97,B,3d97,A
335,338,84,IL.85,PUTATIVE STEROID ISOMERASE,2z7a_AB,2z76_AB,LDA,101,independent_local_motion,2z7a,AB,2z76,AB
336,339,85,IL.86,GLYCOPROTEIN IB ALPHA,1m0z_B,1qyy_G,NAG,101,independent_local_motion,1m0z,B,1qyy,G
337,340,86,IL.87,LIPOATE-PROTEIN LIGASE A,1x2g_C,1x2h_A,LPA,101,independent_local_motion,1x2g,C,1x2h,A
338,341,87,IL.88,HYPOTHETICAL PROTEIN TA0583,2fsj_A,2fsn_B,ADP,101,independent_local_motion,2fsj,A,2fsn,B
339,342,88,IL.89,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT,1e8y_A,3dbs_A,GD9,101,independent_local_motion,1e8y,A,3dbs,A
340,343,89,IL.90,HOMOSERINE DEHYDROGENASE,1ebu_AB,1ebf_AB,NAD,101,independent_local_motion,1ebu,AB,1ebf,AB
341,344,90,IL.91,PROFILIN,2jkf_A,2jkg_A,PEPT(PPPPPPPP),101,independent_local_motion,2jkf,A,2jkg,A
342,345,91,IL.92,VITAMIN B12 TRANSPORT PROTEIN BTUF,1n4d_A,1n4a_A,CNC,101,independent_local_motion,1n4d,A,1n4a,A
343,346,92,IL.93,IROE PROTEIN,2gzr_A,2gzs_A,DFP,101,independent_local_motion,2gzr,A,2gzs,A
344,347,93,IL.94,HISF PROTEIN,1thf_D,2a0n_A,UNL,101,independent_local_motion,1thf,D,2a0n,A
345,348,94,IL.95,"2,3-DIKETO-5-METHYLTHIOPENTYL-1-PHOSPHATE ENOLASE",2oej_AB,2oek_AB,2xMG,101,independent_local_motion,2oej,AB,2oek,AB
