#ProteinA	ProteinB	PDB_Code	evidence
P01730	Q6P5S8	2nxy,2nxz,2ny0,2ny1,2ny2,2ny3,2ny4,2ny5,2ny6	MI:0114  x-ray crystallography
P01730	Q6P5S8	2NY4,2NY3,2NY2,2NY1,2NY5,2NXY,2NXZ,2NY0,2NY6	MI:0114  x-ray crystallography
P01730	Q6PIL8	2B4C	MI:0114  x-ray crystallography
P01730	Q6PYX1	1RZK,2NY4,2NY2,2NY5,1RZJ,2B4C,2NXZ,2NY0	MI:0114  x-ray crystallography
P01731	Q76740	3dmm	MI:0114  x-ray crystallography
P01732	Q9YYU8	3qzw	MI:0114  x-ray crystallography
P01738	P01887	1g6r,1mwa	MI:0114  x-ray crystallography
P01738	P01887	1G6R,1MWA	MI:0114  x-ray crystallography
P01738	P01903	2icw	MI:0114  x-ray crystallography
P01738	P04229	2icw	MI:0114  x-ray crystallography
P01834	P01837	3bqu	MI:0114  x-ray crystallography
P01834	P29460	3d85	MI:0114  x-ray crystallography
P01834	P61769	3vh8	MI:0114  x-ray crystallography
P01834	Q05320	3csy	MI:0114  x-ray crystallography
P01837	P03437	1ken	MI:0114  x-ray crystallography
P01837	P05106	2vc2,2vdk,2vdl,2vdm,2vdn,2vdo,2vdp,2vdq,2vdr	MI:0114  x-ray crystallography
P01837	Q7TS98	1AHW	MI:0114  x-ray crystallography
P01848	P01887	3o8x,3o9w,3scm,3sda,3sdc,3sdd	MI:0114  x-ray crystallography
P01848	P61769	1mi5,1oga,1qrn,2ak4,2bnq,2bnr,2esv,2f53,2f54,2gj6,2nx5,2p5e,2p5w,2po6,2pye,2vlj,2vlk,2vlr,3dxa,3gsn,3hg1,3kpr,3kps,3kxf,3qdg,3qdj,3qdm,3qeq,3sdx	MI:0114  x-ray crystallography
P01848	Q03909	2xn9	MI:0114  x-ray crystallography
P01849	P01852	3c6l	MI:0114  x-ray crystallography
P01849	P61769	1lp9,2j8u,2jcc	MI:0114  x-ray crystallography
P01850	P0A0M0	2xn9,2xna	MI:0114  x-ray crystallography
P01850	P61769	1mi5,1oga,2ak4,2bnr,2esv,2f53,2f54,2gj6,2nx5,2p5e,2p5w,2po6,2pye,2vlj,2vlk,2vlr,3dxa	MI:0114  x-ray crystallography
P01850	Q03909	2xn9	MI:0114  x-ray crystallography
P01851	P01887	1mwa,2ckb	MI:0114  x-ray crystallography
P01851	P01887	1MWA	MI:0114  x-ray crystallography
P01851	P61769	1lp9	MI:0114  x-ray crystallography
P01852	P01887	1g6r	MI:0114  x-ray crystallography
P01852	P01887	1G6R	MI:0114  x-ray crystallography
P01857	P29460	3d85	MI:0114  x-ray crystallography
P01865	Q51918	1ynt	MI:0114  x-ray crystallography
P01867	P01869	1cic	MI:0114  x-ray crystallography
P01867	P01869	1CIC	MI:0114  x-ray crystallography
P01869	P03437	1ken	MI:0114  x-ray crystallography
P01869	Q51918	1mhh	MI:0114  x-ray crystallography
P01887	O08582	1KJ3,1KJ2	MI:0114  x-ray crystallography
P01887	P01012	1P1Z,1VAC,1P4L	MI:0114  x-ray crystallography
P01887	P03521	1fzj,1fzm	MI:0114  x-ray crystallography
P01887	P03521	1FZM,1FZJ	MI:0114  x-ray crystallography
P01887	P03541	3p4n	MI:0114  x-ray crystallography
P01887	P03889	1mhc	MI:0114  x-ray crystallography
P01887	P03889	1MHC	MI:0114  x-ray crystallography
P01887	P04214	1fo0,1kj2,1nam,2ol3	MI:0114  x-ray crystallography
P01887	P04582	1ddh,1qo3	MI:0114  x-ray crystallography
P01887	P04582	1QO3,1DDH	MI:0114  x-ray crystallography
P01887	P04857	1fzk,1fzo,1kpv,2vab	MI:0114  x-ray crystallography
P01887	P04857	1FZK,1FZO,2VAB	MI:0114  x-ray crystallography
P01887	P06436	1rjy,1rjz,1rk0,1rk1,1t0m,1t0n	MI:0114  x-ray crystallography
P01887	P06436	1RJZ,1RJY,1RK0,1T0M,1RK1,1T0N	MI:0114  x-ray crystallography
P01887	P07399	1S7T,1S7V,1S7S,1S7Q,1S7U,1S7X,1S7W,1S7R	MI:0114  x-ray crystallography
P01887	P0C0U1	3buy	MI:0114  x-ray crystallography
P01887	P11212	1kbg,1nam,2mha,2vaa	MI:0114  x-ray crystallography
P01887	P11212	1KBG,1NAM,2MHA,2VAA	MI:0114  x-ray crystallography
P01887	P13175	1yn6,1yn7	MI:0114  x-ray crystallography
P01887	P13175	1YN6,1YN7	MI:0114  x-ray crystallography
P01887	P15208	1lk2	MI:0114  x-ray crystallography
P01887	P15208	1LK2	MI:0114  x-ray crystallography
P01887	P15941	2fo4	MI:0114  x-ray crystallography
P01887	P19551	3ecb	MI:0114  x-ray crystallography
P01887	P26091	1hoc	MI:0114  x-ray crystallography
P01887	P26091	1HOC	MI:0114  x-ray crystallography
P01887	P26140	1wbx	MI:0114  x-ray crystallography
P01887	P26140	1WBX	MI:0114  x-ray crystallography
P01887	P26144	1wbz	MI:0114  x-ray crystallography
P01887	P26144	1WBZ	MI:0114  x-ray crystallography
P01887	P38158	1vad	MI:0114  x-ray crystallography
P01887	P38158	1VAD	MI:0114  x-ray crystallography
P01887	P40967	3cc5	MI:0114  x-ray crystallography
P01887	P41355	3pwu	MI:0114  x-ray crystallography
P01887	P84098	1K8D	MI:0114  x-ray crystallography
P01887	P84099	1k8d	MI:0114  x-ray crystallography
P01887	Q02385	2zok,2zol	MI:0114  x-ray crystallography
P01887	Q05754	1zhb	MI:0114  x-ray crystallography
P01887	Q05754	1ZHB	MI:0114  x-ray crystallography
P01887	Q16615	2FO4	MI:0114  x-ray crystallography
P01887	Q5R1F1	1fo0,1nam,2ol3	MI:0114  x-ray crystallography
P01887	Q62425	1leg,1mwa	MI:0114  x-ray crystallography
P01887	Q62425	1LEG	MI:0114  x-ray crystallography
P01887	Q701N7	2fwo	MI:0114  x-ray crystallography
P01887	Q701N7	2FWO	MI:0114  x-ray crystallography
P01887	Q76740	3dmm	MI:0114  x-ray crystallography
P01887	Q86867	1jpf	MI:0114  x-ray crystallography
P01887	Q88992	1kpu	MI:0114  x-ray crystallography
P01887	Q8QLZ6	1wby	MI:0114  x-ray crystallography
P01887	Q8QLZ6	1WBY	MI:0114  x-ray crystallography
P01887	Q91B91	3p4m,3p4o	MI:0114  x-ray crystallography
P01887	Q91YE7	2clv,2clz,2ol3	MI:0114  x-ray crystallography
P01887	Q91YE7	2CLV,2OL3,2CLZ	MI:0114  x-ray crystallography
P01887	Q9D8V0	1inq,1juf	MI:0114  x-ray crystallography
P01887	Q9D8V0	1JUF,1INQ	MI:0114  x-ray crystallography
P01887	Q9QDK7	1n59,1n5a,3rol,3roo	MI:0114  x-ray crystallography
P01887	Q9QDK7	1N5A,1N59	MI:0114  x-ray crystallography
P01887	Q9YZ87	3e6f	MI:0114  x-ray crystallography
P01888	Q4MYJ2	2xfx	MI:0114  x-ray crystallography
P01888	Q9YKD7	3pwv	MI:0114  x-ray crystallography
P01899	Q792Z7	3cch,3ch1	MI:0114  x-ray crystallography
P01903	A2NTY6	2ICW	MI:0114  x-ray crystallography
P01903	P01738	2ICW	MI:0114  x-ray crystallography
P01903	P03205	1kg0	MI:0114  x-ray crystallography
P01903	P03205	1KG0	MI:0114  x-ray crystallography
P01903	P04213	2icw	MI:0114  x-ray crystallography
P01994	P21611	3bev	MI:0114  x-ray crystallography
P02077	Q1KZF3	2ri4	MI:0114  x-ray crystallography
P02218	O61233	2GTL,1X9F	MI:0114  x-ray crystallography
P02299	P02283	2NQB,2PYO	MI:0114  x-ray crystallography
P02302	P02281	1AOI,1M1A,1M18,1M19	MI:0114  x-ray crystallography
P02391	P0A7R1	487D	MI:0040 Electron cryomicroscopy
P02406	P04449	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P04456	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P04650	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05317	3izs,3jyw,3o5h,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05737	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05738	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05740	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05743	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05744	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05745	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05747	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05748	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P05749	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0C0W9	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P02406	P0C2H6	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0C2H8	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CH08	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX23	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX25	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX27	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX41	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P02406	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P02406	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P02406	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P26321	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02406	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P02407	P05756	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P05759	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P06367	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P07280	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0C0V8	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0C0W1	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX29	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX31	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX33	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX35	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX37	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX39	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX47	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX51	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P0CX55	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P25443	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P26783	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P26786	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P35997	3izb,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P38701	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P39015	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P39938	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P41057	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	P48589	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	Q01855	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	Q08745	3u5c,3u5g	MI:0114  x-ray crystallography
P02407	Q3E792	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02407	Q3E7X9	3izb,3o2z,3o30,3u5c,3u5g	MI:0114  x-ray crystallography
P02550	Q2HJ86	1sa0,1sa1	MI:0114  x-ray crystallography
P02554	Q6B856	1sa1	MI:0114  x-ray crystallography
P02671	P02676	3h32	MI:0114  x-ray crystallography
P02671	Q48WD8	2xnx	MI:0114  x-ray crystallography
P02676	P02679	3h32	MI:0114  x-ray crystallography
P02698	P04695	1got	MI:0114  x-ray crystallography
P02698	P19632	1a0r	MI:0114  x-ray crystallography
P02698	P19632	1A0R	MI:0114  x-ray crystallography
P02698	P20942	2TRC,1B9X,1B9Y	MI:0114  x-ray crystallography
P02712	P02714	1OLK,1LK1,1OED	MI:0040 Electron cryomicroscopy
P02718	P02714	1OLK,1LK1,1OED	MI:0040 Electron cryomicroscopy
P02721	P05630	2wss	MI:0114  x-ray crystallography
P02721	P05631	2wss	MI:0114  x-ray crystallography
P02721	P05632	2wss	MI:0114  x-ray crystallography
P02721	P19483	2wss	MI:0114  x-ray crystallography
P02771	P61769	3mrk	MI:0114  x-ray crystallography
P02788	P12307	1lgb	MI:0114  x-ray crystallography
P03204	P61769	1cg9,2bsr,3dxa	MI:0114  x-ray crystallography
P03205	Q91LS8	1kg0	MI:0114  x-ray crystallography
P03211	P61769	2fyy,2fz3,3mv7,3mv8,3mv9	MI:0114  x-ray crystallography
P03300	Q84868	2plv,3epc	MI:0114  x-ray crystallography
P03300	Q8QXN9	2plv	MI:0114  x-ray crystallography
P03300	Q9IZE6	2plv,3epc	MI:0114  x-ray crystallography
P03303	Q80SI7	1rvf	MI:0114  x-ray crystallography
P03303	Q8K1F2	1rvf	MI:0114  x-ray crystallography
P03303	Q8V5K2	1rvf	MI:0114  x-ray crystallography
P03313	P08292	1cov	MI:0114  x-ray crystallography
P03313	Q66282	1cov	MI:0114  x-ray crystallography
P03366	P01837	1R0A,1N6Q,1T03,1N5Y	MI:0114  x-ray crystallography
P03366	P61769	2x4u	MI:0114  x-ray crystallography
P03369	Q9YV20	4ep2,4eqj	MI:0114  x-ray crystallography
P03485	P61769	1hhi	MI:0114  x-ray crystallography
P03633	P03643	1al0,1cd3	MI:0114  x-ray crystallography
P03633	P69486	1al0,1cd3,1m0f	MI:0114  x-ray crystallography
P03633	P69487	1al0,1cd3,1m0f	MI:0114  x-ray crystallography
P03641	P69486	1al0,1cd3	MI:0114  x-ray crystallography
P03641	P69487	1al0,1cd3	MI:0114  x-ray crystallography
P03642	P03644	1gff	MI:0114  x-ray crystallography
P03642	P03652	1gff	MI:0114  x-ray crystallography
P03643	P69486	1al0,1cd3	MI:0114  x-ray crystallography
P03643	P69487	1al0,1cd3	MI:0114  x-ray crystallography
P03644	P03652	1gff	MI:0114  x-ray crystallography
P03732	Q8X5E5	3fzb	MI:0114  x-ray crystallography
P04038	P00430	2EIK,2EIM,2EIL,1OCZ,2ZXW,2OCC,2EIN,2DYS,1OCR,2EIJ,1V54,1OCC,2DYR,1V55,1OCO	MI:0114  x-ray crystallography
P04038	P07470	1occ,1oco,1ocr,1ocz,1v54,1v55,2dyr,2dys,2eij,2eik,2eil,2eim,2ein,2occ,2y69,2ybb,2zxw,3abk,3abl,3abm,3ag1,3ag2,3ag3,3ag4,3asn,3aso	MI:0114  x-ray crystallography
P04038	P07470	2EIK,2EIM,2EIL,1OCZ,2ZXW,2OCC,2EIN,2DYS,1OCR,2EIJ,1V54,1OCC,2DYR,1V55,1OCO	MI:0114  x-ray crystallography
P04038	P07471	1occ,1oco,1ocr,1ocz,1v54,1v55,2dyr,2dys,2eij,2eik,2eil,2eim,2ein,2occ,2y69,2ybb,2zxw,3abk,3abl,3abm,3ag1,3ag2,3ag3,3ag4,3asn,3aso	MI:0114  x-ray crystallography
P04038	P10175	1occ,1oco,1ocr,1ocz,1v54,1v55,2dyr,2dys,2eij,2eik,2eil,2eim,2ein,2occ,2y69,2ybb,2zxw,3abk,3abl,3abm,3ag1,3ag2,3ag3,3ag4,3asn,3aso	MI:0114  x-ray crystallography
P04038	P10175	2EIK,2EIM,2EIL,1OCZ,2ZXW,2OCC,2EIN,2DYS,1OCR,2EIJ,1V54,1OCC,2DYR,1V55,1OCO	MI:0114  x-ray crystallography
P04050	P22139	1i3q,1i50,1i6h,1k83,1nik,1nt9,1pqv,1r5u,1r9s,1r9t,1sfo,1twa,1twc,1twf,1twg,1twh,1wcm,1y1v,1y1w,1y1y,1y77,2b63,2b8k,2e2h,2e2i,2e2j,2ja5,2ja6,2ja7,2ja8,2nvq,2nvt,2nvx,2nvy,2nvz,2r7z,2r92,2r93,2vum,2yu9,3fki,3gtg,3gtj,3gtk,3gtl,3gtm,3gto,3gtp,3gtq,3h3v,3hou,3hov,3how,3hox,3hoy,3hoz,3i4m,3i4n,3k1f,3k7a,3m3y,3m4o,3po2,3po3,3qt1,3rzd,3rzo,3s14,3s15,3s16,3s17,3s1m,3s1n,3s1q,3s1r,3s2d,3s2h,4a3b,4a3c,4a3d,4a3e,4a3f,4a3g,4a3i,4a3j,4a3k,4a3l,4a3m,4a93,4bbr,4bbs	MI:0114  x-ray crystallography
P04050	P32585	4gwq	MI:0114  x-ray crystallography
P04050	P34162	4gwq	MI:0114  x-ray crystallography
P04050	P40422	1i3q,1i50,1i6h,1k83,1nik,1nt9,1pqv,1r5u,1r9s,1r9t,1sfo,1twa,1twc,1twf,1twg,1twh,1wcm,1y1v,1y1w,1y1y,1y77,2b63,2b8k,2e2h,2e2i,2e2j,2ja5,2ja6,2ja7,2ja8,2nvq,2nvt,2nvx,2nvy,2nvz,2r7z,2r92,2r93,2vum,2yu9,3fki,3gtg,3gtj,3gtk,3gtl,3gtm,3gto,3gtp,3gtq,3h3v,3hou,3hov,3how,3hox,3hoy,3hoz,3i4m,3i4n,3k1f,3k7a,3m3y,3m4o,3po2,3po3,3qt1,3rzd,3rzo,3s14,3s15,3s16,3s17,3s1m,3s1n,3s1q,3s1r,3s2d,3s2h,4a3b,4a3c,4a3d,4a3e,4a3f,4a3g,4a3i,4a3j,4a3k,4a3l,4a3m,4a93,4bbr,4bbs	MI:0114  x-ray crystallography
P04050	Q99278	4gwq	MI:0114  x-ray crystallography
P04213	P04229	2icw	MI:0114  x-ray crystallography
P04213	P61769	2j8u	MI:0114  x-ray crystallography
P04214	P01887	1NAM,1FO0,2OL3,1KJ2	MI:0114  x-ray crystallography
P04229	P0A0L2	1lo5	MI:0114  x-ray crystallography
P04229	P0A0L3	1pyw	MI:0114  x-ray crystallography
P04234	A2NVF0	1XIW	MI:0114  x-ray crystallography
P04449	P04456	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P04650	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05317	3izs,3o5h,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05737	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05738	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05740	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05743	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05744	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05745	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05747	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05748	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P05749	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0C0W9	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04449	P0C2H6	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0C2H8	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CH08	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX23	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX25	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX27	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX41	1s1i,2x7n,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04449	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04449	P0CX82	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04449	P0CX84	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P17076	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P26321	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P26784	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P36105	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P38061	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P41805	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P49166	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P49167	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	P87262	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	Q02326	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	Q02753	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04449	Q12690	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04450	P68919	487D	MI:0040 Electron cryomicroscopy
P04456	P04650	2ww9,2wwa,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05317	3izs,3jyw,3o5h,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05737	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05738	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05740	1s1i,2ww9,2wwa,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05743	1s1i,2ww9,2wwa,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05744	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05745	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05747	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05748	1s1i,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P05749	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0C0W9	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04456	P0C2H6	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0C2H8	1s1i,2ww9,2wwa,3izs,3jyw,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CH08	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX23	3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX25	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX27	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX41	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX45	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04456	P0CX49	1s1i,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04456	P0CX82	1s1i,2ww9,2wwa,3izs,3o58,3o5h,3u5e,3u5i	MI:0114  x-ray crystallography
P04456	P0CX84	1s1i,2ww9,2wwa,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P0CX86	3izs,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P10664	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P14120	3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
P04456	P14126	1s1i,3izs,3o58,3o5h,3u5e,3u5i,4b6a	MI:0114  x-ray crystallography
